seas_ep,seas,ep,ep_ct,ep_title,character,wordcount,duration,release,writer_1,writer_2,director,US_viewers,imdb,rt,rt_aud
S2E4,2,4,14,Garden of Bones,The Tickler,4,51,4/22/2012,George R.R. Martin,David Benioff,David Petrarca,3.65,8.8,97,96
S2E5,2,5,15,The Ghost of Harrenhal,Jaqen H'ghar,5,55,4/29/2012,George R.R. Martin,David Benioff,David Petrarca,3.9,8.8,96,96
S2E6,2,6,16,The Old Gods and the New,Kingsguard,5,54,5/6/2012,George R.R. Martin,David Benioff,David Nutter,3.88,9.1,100,96
S2E7,2,7,17,A Man Without Honor,Daenerys Targaryen,26,56,5/13/2012,George R.R. Martin,David Benioff,David Nutter,3.69,8.9,96,96
S2E8,2,8,18,The Prince of Winterfell,Arya Stark,9,54,5/20/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E9,2,9,19,Blackwater,Tyrion Lannister,6,55,5/27/2012,George R.R. Martin,David Benioff,Neil Marshall,3.38,9.7,100,96
S2E10,2,10,20,Valar Morghulis,Shae,8,64,6/3/2012,George R.R. Martin,David Benioff,Alan Taylor,4.2,9.4,92,96
S3E1,3,1,21,Valar Dohaeris,Sansa Stark,2,55,3/31/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.37,8.8,98,97
S3E2,3,2,22,"Dark Wings, Dark Words",Grenn,2,56,4/7/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.27,8.6,89,97
S3E3,3,3,23,Walk of Punishment,Daenerys Targaryen,24,56,4/14/2013,George R.R. Martin,David Benioff,David Benioff,4.72,8.9,92,97
S3E4,3,4,24,And Now His Watch Is Ended,Lord Varys,20,53,4/21/2013,George R.R. Martin,David Benioff,Alex Graves,4.87,9.6,100,97
S3E5,3,5,25,Kissed by Fire,Thoros Of Myr,9,57,4/28/2013,George R.R. Martin,David Benioff,Alex Graves,5.35,9,100,97
S3E6,3,6,26,The Climb,Roose Bolton,17,53,5/5/2013,George R.R. Martin,David Benioff,Alik Sakharov,5.5,8.8,83,97
S3E7,3,7,27,The Bear and the Maiden Fair,Gendry,10,58,5/12/2013,George R.R. Martin,David Benioff,Michelle MacLaren,4.84,8.7,77,97
S3E8,3,8,28,Second Sons,Sansa Stark,4,56,5/19/2013,George R.R. Martin,David Benioff,Michelle MacLaren,5.13,9,97,97
S3E9,3,9,29,The Rains of Castamere,Daenerys Targaryen,3,51,6/2/2013,George R.R. Martin,David Benioff,David Nutter,5.22,9.9,100,97
S3E10,3,10,30,Mhysa,Davos Seaworth,2,63,6/9/2013,George R.R. Martin,David Benioff,David Nutter,5.39,9.2,100,97
S4E1,4,1,31,Two Swords,Qyburn,5,58,4/6/2014,George R.R. Martin,David Benioff,D.B. Weiss,6.64,9.1,95,97
S4E2,4,2,32,The Lion and the Rose,Bran Stark,4,52,4/13/2014,George R.R. Martin,David Benioff,Alex Graves,6.31,9.7,100,97
S4E3,4,3,33,Breaker of Chains,Shireen Baratheon,8,57,4/20/2014,George R.R. Martin,David Benioff,Alex Graves,6.59,8.9,96,97
S4E4,4,4,34,Oathkeeper,Jon Snow,16,55,4/27/2014,George R.R. Martin,David Benioff,Michelle MacLaren,6.95,8.8,96,97
S4E5,4,5,35,First of His Name,Podrick Payne,2,53,5/4/2014,George R.R. Martin,David Benioff,Michelle MacLaren,7.16,8.7,98,97
S4E6,4,6,36,The Laws of Gods and Men,Tywin Lannister,10,51,5/11/2014,George R.R. Martin,David Benioff,Alik Sakharov,6.4,9.7,96,97
S4E7,4,7,37,Mockingbird,Podrick Payne,5,51,5/18/2014,George R.R. Martin,David Benioff,Alik Sakharov,7.2,9.1,100,97
S4E8,4,8,38,The Mountain and the Viper,Roose Bolton,10,52,6/1/2014,George R.R. Martin,David Benioff,Alex Graves,7.17,9.7,96,97
S4E9,4,9,39,The Watchers on the Wall,Jon Snow,6,51,6/8/2014,George R.R. Martin,David Benioff,Neil Marshall,6.95,9.6,94,97
S4E10,4,10,40,The Children,Three-Eyed Raven,11,65,6/15/2014,George R.R. Martin,David Benioff,Alex Graves,7.09,9.7,98,97
S5E1,5,1,41,The Wars to Come,Loras Tyrell,15,53,4/12/2015,George R.R. Martin,David Benioff,Michael Slovis,8,8.5,96,90
S5E2,5,2,42,The House of Black and White,Lord Varys,17,56,4/19/2015,George R.R. Martin,David Benioff,Michael Slovis,6.81,8.5,96,90
S5E3,5,3,43,High Sparrow,Janos Slynt,19,60,4/26/2015,George R.R. Martin,David Benioff,Mark Mylod,6.71,8.5,100,90
S5E4,5,4,44,Sons of the Harpy,Bronn,18,51,5/3/2015,George R.R. Martin,David Benioff,Mark Mylod,6.82,8.7,96,90
S5E5,5,5,45,Kill the Boy,Davos Seaworth,14,57,5/10/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.56,8.6,96,90
S5E6,5,6,46,"Unbowed, Unbent, Unbroken",Olenna Tyrell,32,54,5/17/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.24,8,54,90
S5E7,5,7,47,The Gift,Myrcella Baratheon,20,59,5/24/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,9,83,90
S5E8,5,8,48,Hardhome,Tormund Giantsbane,1,61,5/31/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,7.01,9.9,100,90
S5E9,5,9,49,The Dance of Dragons,Daenerys Targaryen,6,52,6/7/2015,George R.R. Martin,David Benioff,David Nutter,7.14,9.5,83,90
S5E10,5,10,50,Mother's Mercy,King's Landing Woman,9,60,6/14/2015,George R.R. Martin,David Benioff,David Nutter,8.11,9.1,92,90
S6E1,6,1,51,The Red Woman,Davos Seaworth,35,50,4/24/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.94,8.5,86,93
S6E2,6,2,52,Home,Balon Greyjoy,17,54,5/1/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.29,9.4,87,93
S6E3,6,3,53,Oathbreaker,Jaqen H'ghar,16,52,5/8/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.28,8.7,87,93
S6E4,6,4,54,Book of the Stranger,Ornela,3,59,5/15/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.82,9.1,100,93
S6E5,6,5,55,The Door,Three-Eyed Raven,1,57,5/22/2016,George R.R. Martin,David Benioff,Jack Bender,7.89,9.7,98,93
S6E6,6,6,56,Blood of My Blood,Cersei Lannister,2,52,5/29/2016,George R.R. Martin,David Benioff,Jack Bender,6.71,8.4,88,93
S6E7,6,7,57,The Broken Man,Davos Seaworth,29,51,6/5/2016,George R.R. Martin,David Benioff,Mark Mylod,7.8,8.6,98,93
S6E8,6,8,58,No One,Jaime Lannister,13,59,6/12/2016,George R.R. Martin,David Benioff,Mark Mylod,7.6,8.4,85,93
S6E10,6,10,60,The Winds of Winter,Eddard Stark,3,68,6/26/2016,George R.R. Martin,David Benioff,Miguel Sapochnik,8.89,9.9,99,93
S7E1,7,1,61,Dragonstone,Sandor Clegane,2,59,7/16/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,10.11,8.6,93,82
S7E2,7,2,62,Stormborn,Hot Pie,5,59,7/23/2017,George R.R. Martin,David Benioff,Mark Mylod,9.27,8.9,96,82
S7E3,7,3,63,The Queen's Justice,Jon Snow,3,63,7/30/2017,George R.R. Martin,David Benioff,Mark Mylod,9.25,9.2,89,82
S7E4,7,4,64,The Spoils of War,Davos Seaworth,11,50,8/6/2017,George R.R. Martin,David Benioff,Matt Shakman,10.17,9.8,97,82
S7E5,7,5,65,Eastwatch,Davos Seaworth,11,59,8/13/2017,George R.R. Martin,David Benioff,Matt Shakman,10.72,8.8,95,82
S7E6,7,6,66,Beyond the Wall,Thoros Of Myr,27,70,8/20/2017,George R.R. Martin,David Benioff,Alan Taylor,10.24,9,84,82
S7E7,7,7,67,The Dragon and the Wolf,Petyr Baelish,6,80,8/27/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,12.07,9.4,87,82
S8E1,8,1,68,Winterfell,Gendry,7,54,4/14/2019,George R.R. Martin,David Benioff,David Nutter,11.76,7.6,92,30
S8E2,8,2,69,A Knight of the Seven Kingdoms,Davos Seaworth,13,58,4/21/2019,George R.R. Martin,David Benioff,David Nutter,10.29,7.9,88,30
S8E4,8,4,71,The Last of the Starks,Arya Stark,12,78,5/5/2019,George R.R. Martin,David Benioff,David Nutter,11.8,5.5,57,30
S8E5,8,5,72,The Bells,Lannister Soldier #23,3,78,5/12/2019,George R.R. Martin,David Benioff,Miguel Sapochnik,12.48,6,49,30
S8E6,8,6,73,The Iron Throne,Davos Seaworth,4,80,5/19/2019,George R.R. Martin,David Benioff,David Benioff,13.61,4.1,48,30
S1E1,1,1,1,Winter Is Coming,Illyrio Mopatis,19,62,4/17/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.22,9.1,100,96
S1E2,1,2,2,The Kingsroad,Joffrey Baratheon,51,56,4/24/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,8.8,100,96
S1E3,1,3,3,Lord Snow,Jaime Lannister,6,58,5/1/2011,David Benioff,D.B. Weiss,Brian Kirk,2.44,8.7,86,96
S1E4,1,4,4,"Cripples, Bastards, and Broken Things",Arya Stark,16,56,5/8/2011,David Benioff,D.B. Weiss,Brian Kirk,2.45,8.8,100,96
S1E5,1,5,5,The Wolf and the Lion,Lord Varys,3,55,5/15/2011,David Benioff,D.B. Weiss,Brian Kirk,2.58,9.1,95,96
S1E6,1,6,6,A Golden Crown,Grand Maester Pycelle,1,53,5/22/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.44,9.2,100,96
S1E7,1,7,7,You Win or You Die,Jon Snow,32,58,5/29/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.4,9.2,100,96
S1E8,1,8,8,The Pointy End,Mirri Maz Duur,8,59,6/5/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.72,9,100,96
S1E9,1,9,9,Baelor,Qotho,10,57,6/12/2011,David Benioff,D.B. Weiss,Alan Taylor,2.66,9.6,100,96
S1E10,1,10,10,Fire and Blood,Grenn,38,53,6/19/2011,David Benioff,D.B. Weiss,Alan Taylor,3.04,9.5,100,96
S2E1,2,1,11,The North Remembers,Maester Cressen,12,53,4/1/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E2,2,2,12,The Night Lands,Lommy Greenhands,25,54,4/8/2012,George R.R. Martin,David Benioff,Alan Taylor,3.76,8.5,89,96
S2E3,2,3,13,What Is Dead May Never Die,Margaery Tyrell,8,53,4/15/2012,George R.R. Martin,David Benioff,Alik Sakharov,3.77,8.8,100,96
S2E4,2,4,14,Garden of Bones,Tortured Prisoner,3,51,4/22/2012,George R.R. Martin,David Benioff,David Petrarca,3.65,8.8,97,96
S2E5,2,5,15,The Ghost of Harrenhal,Arya Stark,10,55,4/29/2012,George R.R. Martin,David Benioff,David Petrarca,3.9,8.8,96,96
S2E6,2,6,16,The Old Gods and the New,King's Landing Woman,7,54,5/6/2012,George R.R. Martin,David Benioff,David Nutter,3.88,9.1,100,96
S2E7,2,7,17,A Man Without Honor,Jorah Mormont,8,56,5/13/2012,George R.R. Martin,David Benioff,David Nutter,3.69,8.9,96,96
S2E8,2,8,18,The Prince of Winterfell,Jaqen H'ghar,16,54,5/20/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E9,2,9,19,Blackwater,Joffrey Baratheon,5,55,5/27/2012,George R.R. Martin,David Benioff,Neil Marshall,3.38,9.7,100,96
S2E10,2,10,20,Valar Morghulis,Tyrion Lannister,1,64,6/3/2012,George R.R. Martin,David Benioff,Alan Taylor,4.2,9.4,92,96
S3E1,3,1,21,Valar Dohaeris,Petyr Baelish,26,55,3/31/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.37,8.8,98,97
S3E2,3,2,22,"Dark Wings, Dark Words",Samwell Tarly,2,56,4/7/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.27,8.6,89,97
S3E3,3,3,23,Walk of Punishment,Kraznys Mo Nakloz,3,56,4/14/2013,George R.R. Martin,David Benioff,David Benioff,4.72,8.9,92,97
S3E4,3,4,24,And Now His Watch Is Ended,Olenna Tyrell,11,53,4/21/2013,George R.R. Martin,David Benioff,Alex Graves,4.87,9.6,100,97
S3E5,3,5,25,Kissed by Fire,Beric Dondarrion,8,57,4/28/2013,George R.R. Martin,David Benioff,Alex Graves,5.35,9,100,97
S3E6,3,6,26,The Climb,Jaime Lannister,15,53,5/5/2013,George R.R. Martin,David Benioff,Alik Sakharov,5.5,8.8,83,97
S3E7,3,7,27,The Bear and the Maiden Fair,Melisandre,4,58,5/12/2013,George R.R. Martin,David Benioff,Michelle MacLaren,4.84,8.7,77,97
S3E8,3,8,28,Second Sons,Tyrion Lannister,6,56,5/19/2013,George R.R. Martin,David Benioff,Michelle MacLaren,5.13,9,97,97
S3E9,3,9,29,The Rains of Castamere,Daario Naharis,6,51,6/2/2013,George R.R. Martin,David Benioff,David Nutter,5.22,9.9,100,97
S3E10,3,10,30,Mhysa,Lord Varys,8,63,6/9/2013,George R.R. Martin,David Benioff,David Nutter,5.39,9.2,100,97
S4E1,4,1,31,Two Swords,Jaime Lannister,7,58,4/6/2014,George R.R. Martin,David Benioff,D.B. Weiss,6.64,9.1,95,97
S4E2,4,2,32,The Lion and the Rose,Jojen Reed,61,52,4/13/2014,George R.R. Martin,David Benioff,Alex Graves,6.31,9.7,100,97
S4E3,4,3,33,Breaker of Chains,Davos Seaworth,16,57,4/20/2014,George R.R. Martin,David Benioff,Alex Graves,6.59,8.9,96,97
S4E4,4,4,34,Oathkeeper,Samwell Tarly,17,55,4/27/2014,George R.R. Martin,David Benioff,Michelle MacLaren,6.95,8.8,96,97
S4E5,4,5,35,First of His Name,Brienne of Tarth,9,53,5/4/2014,George R.R. Martin,David Benioff,Michelle MacLaren,7.16,8.7,98,97
S4E6,4,6,36,The Laws of Gods and Men,Grand Maester Pycelle,29,51,5/11/2014,George R.R. Martin,David Benioff,Alik Sakharov,6.4,9.7,96,97
S4E7,4,7,37,Mockingbird,Brienne of Tarth,14,51,5/18/2014,George R.R. Martin,David Benioff,Alik Sakharov,7.2,9.1,100,97
S4E8,4,8,38,The Mountain and the Viper,Ramsay Snow,1,52,6/1/2014,George R.R. Martin,David Benioff,Alex Graves,7.17,9.7,96,97
S4E9,4,9,39,The Watchers on the Wall,Samwell Tarly,15,51,6/8/2014,George R.R. Martin,David Benioff,Neil Marshall,6.95,9.6,94,97
S4E10,4,10,40,The Children,Bran Stark,7,65,6/15/2014,George R.R. Martin,David Benioff,Alex Graves,7.09,9.7,98,97
S5E1,5,1,41,The Wars to Come,Margaery Tyrell,2,53,4/12/2015,George R.R. Martin,David Benioff,Michael Slovis,8,8.5,96,90
S5E2,5,2,42,The House of Black and White,Tyrion Lannister,18,56,4/19/2015,George R.R. Martin,David Benioff,Michael Slovis,6.81,8.5,96,90
S5E3,5,3,43,High Sparrow,Samwell Tarly,6,60,4/26/2015,George R.R. Martin,David Benioff,Mark Mylod,6.71,8.5,100,90
S5E4,5,4,44,Sons of the Harpy,Jaime Lannister,8,51,5/3/2015,George R.R. Martin,David Benioff,Mark Mylod,6.82,8.7,96,90
S5E5,5,5,45,Kill the Boy,Stannis Baratheon,6,57,5/10/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.56,8.6,96,90
S5E6,5,6,46,"Unbowed, Unbent, Unbroken",Margaery Tyrell,6,54,5/17/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.24,8,54,90
S5E7,5,7,47,The Gift,Jaime Lannister,3,59,5/24/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,9,83,90
S5E8,5,8,48,Hardhome,Rattleshirt,21,61,5/31/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,7.01,9.9,100,90
S5E9,5,9,49,The Dance of Dragons,Hizdahr zo Loraq,16,52,6/7/2015,George R.R. Martin,David Benioff,David Nutter,7.14,9.5,83,90
S5E10,5,10,50,Mother's Mercy,King's Landing Crowd,6,60,6/14/2015,George R.R. Martin,David Benioff,David Nutter,8.11,9.1,92,90
S6E1,6,1,51,The Red Woman,Loyal Night's Watchman #1,5,50,4/24/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.94,8.5,86,93
S6E2,6,2,52,Home,Yara Greyjoy,8,54,5/1/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.29,9.4,87,93
S6E3,6,3,53,Oathbreaker,Arya Stark,2,52,5/8/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.28,8.7,87,93
S6E4,6,4,54,Book of the Stranger,Ornela,8,59,5/15/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.82,9.1,100,93
S6E5,6,5,55,The Door,Jon Snow,30,57,5/22/2016,George R.R. Martin,David Benioff,Jack Bender,7.89,9.7,98,93
S6E6,6,6,56,Blood of My Blood,Jaime Lannister,43,52,5/29/2016,George R.R. Martin,David Benioff,Jack Bender,6.71,8.4,88,93
S6E7,6,7,57,The Broken Man,Jon Snow,11,51,6/5/2016,George R.R. Martin,David Benioff,Mark Mylod,7.8,8.6,98,93
S6E8,6,8,58,No One,Edmure Tully,12,59,6/12/2016,George R.R. Martin,David Benioff,Mark Mylod,7.6,8.4,85,93
S6E10,6,10,60,The Winds of Winter,Lyanna Stark,7,68,6/26/2016,George R.R. Martin,David Benioff,Miguel Sapochnik,8.89,9.9,99,93
S7E1,7,1,61,Dragonstone,Beric Dondarrion,38,59,7/16/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,10.11,8.6,93,82
S7E2,7,2,62,Stormborn,Arya Stark,1,59,7/23/2017,George R.R. Martin,David Benioff,Mark Mylod,9.27,8.9,96,82
S7E3,7,3,63,The Queen's Justice,Daenerys Targaryen,7,63,7/30/2017,George R.R. Martin,David Benioff,Mark Mylod,9.25,9.2,89,82
S7E4,7,4,64,The Spoils of War,Jon Snow,3,50,8/6/2017,George R.R. Martin,David Benioff,Matt Shakman,10.17,9.8,97,82
S7E5,7,5,65,Eastwatch,Laurence Spellman,4,59,8/13/2017,George R.R. Martin,David Benioff,Matt Shakman,10.72,8.8,95,82
S7E6,7,6,66,Beyond the Wall,Jorah Mormont,33,70,8/20/2017,George R.R. Martin,David Benioff,Alan Taylor,10.24,9,84,82
S7E7,7,7,67,The Dragon and the Wolf,Sansa Stark,11,80,8/27/2017,George R.R. Martin,David Benioff,Jeremy Podeswa,12.07,9.4,87,82
S8E1,8,1,68,Winterfell,Gendry,12,54,4/14/2019,George R.R. Martin,David Benioff,David Nutter,11.76,7.6,92,30
S8E2,8,2,69,A Knight of the Seven Kingdoms,Tyrion Lannister,22,58,4/21/2019,George R.R. Martin,David Benioff,David Nutter,10.29,7.9,88,30
S8E4,8,4,71,The Last of the Starks,Bran Stark,3,78,5/5/2019,George R.R. Martin,David Benioff,David Nutter,11.8,5.5,57,30
S8E5,8,5,72,The Bells,Lannister Soldier #24,3,78,5/12/2019,George R.R. Martin,David Benioff,Miguel Sapochnik,12.48,6,49,30
S8E6,8,6,73,The Iron Throne,Brienne of Tarth,4,80,5/19/2019,George R.R. Martin,David Benioff,David Benioff,13.61,4.1,48,30
S1E1,1,1,1,Winter Is Coming,Viserys Targaryen,20,62,4/17/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.22,9.1,100,96
S1E2,1,2,2,The Kingsroad,Sansa Stark,17,56,4/24/2011,David Benioff,D.B. Weiss,Timothy Van Patten,2.2,8.8,100,96
S1E3,1,3,3,Lord Snow,Cersei Lannister,15,58,5/1/2011,David Benioff,D.B. Weiss,Brian Kirk,2.44,8.7,86,96
S1E4,1,4,4,"Cripples, Bastards, and Broken Things",Eddard Stark,25,56,5/8/2011,David Benioff,D.B. Weiss,Brian Kirk,2.45,8.8,100,96
S1E5,1,5,5,The Wolf and the Lion,Petyr Baelish,12,55,5/15/2011,David Benioff,D.B. Weiss,Brian Kirk,2.58,9.1,95,96
S1E6,1,6,6,A Golden Crown,Eddard Stark,30,53,5/22/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.44,9.2,100,96
S1E7,1,7,7,You Win or You Die,Pypar,86,58,5/29/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.4,9.2,100,96
S1E8,1,8,8,The Pointy End,Qotho,9,59,6/5/2011,David Benioff,D.B. Weiss,Daniel Minahan,2.72,9,100,96
S1E9,1,9,9,Baelor,Daenerys Targaryen,6,57,6/12/2011,David Benioff,D.B. Weiss,Alan Taylor,2.66,9.6,100,96
S1E10,1,10,10,Fire and Blood,Daenerys Targaryen,50,53,6/19/2011,David Benioff,D.B. Weiss,Alan Taylor,3.04,9.5,100,96
S2E1,2,1,11,The North Remembers,Davos Seaworth,8,53,4/1/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E2,2,2,12,The Night Lands,Hot Pie,6,54,4/8/2012,George R.R. Martin,David Benioff,Alan Taylor,3.76,8.5,89,96
S2E3,2,3,13,What Is Dead May Never Die,Renly Baratheon,4,53,4/15/2012,George R.R. Martin,David Benioff,Alik Sakharov,3.77,8.8,100,96
S2E4,2,4,14,Garden of Bones,The Tickler,4,51,4/22/2012,George R.R. Martin,David Benioff,David Petrarca,3.65,8.8,97,96
S2E5,2,5,15,The Ghost of Harrenhal,Jaqen H'ghar,10,55,4/29/2012,George R.R. Martin,David Benioff,David Petrarca,3.9,8.8,96,96
S2E6,2,6,16,The Old Gods and the New,King's Landing Man,4,54,5/6/2012,George R.R. Martin,David Benioff,David Nutter,3.88,9.1,100,96
S2E7,2,7,17,A Man Without Honor,Daenerys Targaryen,32,56,5/13/2012,George R.R. Martin,David Benioff,David Nutter,3.69,8.9,96,96
S2E8,2,8,18,The Prince of Winterfell,Arya Stark,15,54,5/20/2012,George R.R. Martin,David Benioff,Alan Taylor,3.86,8.8,100,96
S2E9,2,9,19,Blackwater,Tyrion Lannister,4,55,5/27/2012,George R.R. Martin,David Benioff,Neil Marshall,3.38,9.7,100,96
S2E10,2,10,20,Valar Morghulis,Shae,4,64,6/3/2012,George R.R. Martin,David Benioff,Alan Taylor,4.2,9.4,92,96
S3E1,3,1,21,Valar Dohaeris,Sansa Stark,8,55,3/31/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.37,8.8,98,97
S3E2,3,2,22,"Dark Wings, Dark Words",Grenn,5,56,4/7/2013,George R.R. Martin,David Benioff,Daniel Minahan,4.27,8.6,89,97
S3E3,3,3,23,Walk of Punishment,Missandei,7,56,4/14/2013,George R.R. Martin,David Benioff,David Benioff,4.72,8.9,92,97
S3E4,3,4,24,And Now His Watch Is Ended,Lord Varys,20,53,4/21/2013,George R.R. Martin,David Benioff,Alex Graves,4.87,9.6,100,97
S3E5,3,5,25,Kissed by Fire,Thoros Of Myr,11,57,4/28/2013,George R.R. Martin,David Benioff,Alex Graves,5.35,9,100,97
S3E6,3,6,26,The Climb,Roose Bolton,15,53,5/5/2013,George R.R. Martin,David Benioff,Alik Sakharov,5.5,8.8,83,97
S3E7,3,7,27,The Bear and the Maiden Fair,Gendry,4,58,5/12/2013,George R.R. Martin,David Benioff,Michelle MacLaren,4.84,8.7,77,97
S3E8,3,8,28,Second Sons,Sansa Stark,1,56,5/19/2013,George R.R. Martin,David Benioff,Michelle MacLaren,5.13,9,97,97
S3E9,3,9,29,The Rains of Castamere,Talisa Maegyr,4,51,6/2/2013,George R.R. Martin,David Benioff,David Nutter,5.22,9.9,100,97
S3E10,3,10,30,Mhysa,Shae,4,63,6/9/2013,George R.R. Martin,David Benioff,David Nutter,5.39,9.2,100,97
S4E1,4,1,31,Two Swords,Cersei Lannister,3,58,4/6/2014,George R.R. Martin,David Benioff,D.B. Weiss,6.64,9.1,95,97
S4E2,4,2,32,The Lion and the Rose,Meera Reed,30,52,4/13/2014,George R.R. Martin,David Benioff,Alex Graves,6.31,9.7,100,97
S4E3,4,3,33,Breaker of Chains,Shireen Baratheon,4,57,4/20/2014,George R.R. Martin,David Benioff,Alex Graves,6.59,8.9,96,97
S4E4,4,4,34,Oathkeeper,Jon Snow,16,55,4/27/2014,George R.R. Martin,David Benioff,Michelle MacLaren,6.95,8.8,96,97
S4E5,4,5,35,First of His Name,Podrick Payne,8,53,5/4/2014,George R.R. Martin,David Benioff,Michelle MacLaren,7.16,8.7,98,97
S4E6,4,6,36,The Laws of Gods and Men,Cersei Lannister,36,51,5/11/2014,George R.R. Martin,David Benioff,Alik Sakharov,6.4,9.7,96,97
S4E7,4,7,37,Mockingbird,Podrick Payne,3,51,5/18/2014,George R.R. Martin,David Benioff,Alik Sakharov,7.2,9.1,100,97
S4E8,4,8,38,The Mountain and the Viper,Ramsay Snow,37,52,6/1/2014,George R.R. Martin,David Benioff,Alex Graves,7.17,9.7,96,97
S4E9,4,9,39,The Watchers on the Wall,Jon Snow,8,51,6/8/2014,George R.R. Martin,David Benioff,Neil Marshall,6.95,9.6,94,97
S4E10,4,10,40,The Children,Three-Eyed Raven,8,65,6/15/2014,George R.R. Martin,David Benioff,Alex Graves,7.09,9.7,98,97
S5E1,5,1,41,The Wars to Come,Loras Tyrell,2,53,4/12/2015,George R.R. Martin,David Benioff,Michael Slovis,8,8.5,96,90
S5E2,5,2,42,The House of Black and White,Lord Varys,4,56,4/19/2015,George R.R. Martin,David Benioff,Michael Slovis,6.81,8.5,96,90
S5E3,5,3,43,High Sparrow,Jon Snow,24,60,4/26/2015,George R.R. Martin,David Benioff,Mark Mylod,6.71,8.5,100,90
S5E4,5,4,44,Sons of the Harpy,Bronn,5,51,5/3/2015,George R.R. Martin,David Benioff,Mark Mylod,6.82,8.7,96,90
S5E5,5,5,45,Kill the Boy,Davos Seaworth,11,57,5/10/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.56,8.6,96,90
S5E6,5,6,46,"Unbowed, Unbent, Unbroken",Olenna Tyrell,16,54,5/17/2015,George R.R. Martin,David Benioff,Jeremy Podeswa,6.24,8,54,90
S5E7,5,7,47,The Gift,Myrcella Baratheon,8,59,5/24/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,5.4,9,83,90
S5E8,5,8,48,Hardhome,Tormund Giantsbane,10,61,5/31/2015,George R.R. Martin,David Benioff,Miguel Sapochnik,7.01,9.9,100,90
S5E9,5,9,49,The Dance of Dragons,Daario Naharis,21,52,6/7/2015,George R.R. Martin,David Benioff,David Nutter,7.14,9.5,83,90
S5E10,5,10,50,Mother's Mercy,King's Landing Flasher #1,11,60,6/14/2015,George R.R. Martin,David Benioff,David Nutter,8.11,9.1,92,90
S6E1,6,1,51,The Red Woman,Loyal Night's Watchman #2,9,50,4/24/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.94,8.5,86,93
S6E2,6,2,52,Home,Balon Greyjoy,4,54,5/1/2016,George R.R. Martin,David Benioff,Jeremy Podeswa,7.29,9.4,87,93
S6E3,6,3,53,Oathbreaker,Ramsay Snow,7,52,5/8/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.28,8.7,87,93
S6E4,6,4,54,Book of the Stranger,Daenerys Targaryen,1,59,5/15/2016,George R.R. Martin,David Benioff,Daniel Sackheim,7.82,9.1,100,93
S6E5,6,5,55,The Door,Davos Seaworth,40,57,5/22/2016,George R.R. Martin,David Benioff,Jack Bender,7.89,9.7,98,93
S6E6,6,6,56,Blood of My Blood,Cersei Lannister,2,52,5/29/2016,George R.R. Martin,David Benioff,Jack Bender,6.71,8.4,88,93
S6E7,6,7,57,The Broken Man,Davos Seaworth,11,51,6/5/2016,George R.R. Martin,David Benioff,Mark Mylod,7.8,8.6,98,93
S6E8,6,8,58,No One,Jaime Lannister,7,59,6/12/2016,George R.R. Martin,David Benioff,Mark Mylod,7.6,8.4,85,93
