Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
3518,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,male,great_house,lannister,Someone believes it. Father had other children? Besides me and Tommen and Myrcella?,2
3520,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,male,great_house,lannister,I'm asking if he fucked other women when he grew tired of you. How many bastards does he have running -,2
3521,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,male,great_house,lannister,"What you just did is punishable by death. You will never do it again. Never. . That will be all, Mother.",2
3572,4/8/2012,Season 2,Episode 2,The Night Lands,joffrey lannister,male,great_house,lannister,I heard a disgusting lie about uncle Jaime… and you. Father had other children?,2
3574,4/8/2012,Season 2,Episode 2,The Night Lands,joffrey lannister,male,great_house,lannister,How many bastards does he have running around?,2
4381,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,You're here to answer for your brother's latest treasons.,2
4383,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,"Ser Lancel, tell her of this outrage.",2
4385,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Killing you would send your brother a message.,2
4386,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,But my mother insists on keeping you alive. Stand. So we'll have to send your brother a message some other way. Meryn.,2
4387,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Leave her face. I like her pretty.,2
4388,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,"Meryn, my lady is overdressed. Unburden her.",2
4389,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,"If you want Robb Stark to hear us, we're going to have to speak louder.",2
4395,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,I'm punishing her.,2
4397,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,You can't talk to me like that. The king can do as he likes!,2
4407,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,"What are you doing here, dog?",2
4409,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,And? What is it?,2
4413,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,My nameday has passed.,2
4415,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,No. Her. Touch her.,2
4416,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Could you hit her?,2
4417,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,My uncle sent you?,2
4420,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Use this.,2
4421,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Harder.,2
4422,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,I said harder. He'd want me to get his money's worth.,2
4426,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,"Oh, I want him to find out. You will bring her to his chambers when you're finished and show him what you've done, or the same thing will happen to you.",2
4427,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Begin.,2
4428,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,male,great_house,lannister,Harder!,2
5289,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,You sound like a little cat mewling for his mother. Princes don't cry.,2
5291,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,"Did you say something, my lady?",2
5293,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,So?,2
5295,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,Is your little brother a prince?,2
5297,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,"Not really relevant then, is it? Come, dog.",2
5309,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,Who threw that? I want the man who threw that. Find who did that and bring him to me!,2
5312,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,Just kill them! Kill them all!,2
5316,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,What are you doing? I want these people executed!,2
5330,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,Traitors! I'll have all their heads.,2
5332,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,You can't insult me.,2
5334,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,You can't-,2
5336,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,They attacked me!,2
5338,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,You're talking to a king!,2
5340,5/6/2012,Season 2,Episode 6,The Old Gods and the New,joffrey lannister,male,great_house,lannister,Let them have her!,2
6331,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,joffrey lannister,male,great_house,lannister,You're the Master of Whisperers. You're supposed to know everything.,2
6333,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,joffrey lannister,male,great_house,lannister,The Stark forces are distracted. Now is the time to strike.,2
6335,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,joffrey lannister,male,great_house,lannister,"If my Uncle Stannis lands on the shores of King's Landing, I'll ride out to greet him.",2
6337,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,joffrey lannister,male,great_house,lannister,They say Stannis never smiles. I'll give him a red smile from ear to ear.,2
6490,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,Sansa.,2
6492,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"Sansa, come here.",2
6498,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,Your king rides forth to battle. You should see him off with a kiss.,2
6499,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"My new blade. Hearteater, I've named it. Kiss it.",2
6500,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,You'll kiss it again when I return and taste my uncle's blood.,2
6502,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,If Stannis is fool enough to come near me.,2
6504,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,A king doesn't discuss battle plans with stupid girls.,2
6506,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"Your brother's turn will come. Then you can lick his blood off Hearteater, too.",2
6512,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,Why isn't it here now? They're coming.,2
6513,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"Hound, tell the Hand that his king has asked him a question.",2
6517,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"If I tell the Hound to cut you in half, he'll do it without a second thought.",2
6544,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,There they are.,2
6551,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,What are you doing? We need to attack them.,2
6553,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,There's only one ship. Where are the rest of them? Where are the rest of them?,2
6598,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,They're coming. They're coming ashore.,2
6601,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,There are too many.,2
6656,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"Dog, I command you to go back out there and fight!",2
6668,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,What would you have me do?,2
6670,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,What did my mother say exactly? Did she have urgent business with me?,2
6673,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,male,great_house,lannister,"Ser Boros, Ser Mandon, stay with my uncle and represent the king on the field of battle.",2
6752,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"I, Joffrey of the House Baratheon, first of my name, the rightful King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm, do hereby proclaim my grandfather, Tywin Lannister, the savior of the city and the Hand of the King.",2
6754,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"Lord Petyr Baelish, step forward.",2
6755,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"For your good service and ingenuity in uniting the Houses of Lannister and Tyrell, I declare that you shall be granted the castle of Harrenhal with all its attendant lands and incomes to be held by your sons and grandsons from this day until the end of time.",2
6757,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,Ser Loras Tyrell.,2
6758,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"Your house has come to our aid. The whole realm is in your debt, none more so than I. If your family would ask anything of me, ask it, and it shall be yours.",2
6760,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"Is this what you want, Lady Margaery?",2
6762,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"I, too, have heard tales of your beauty and grace, but the tales do not do you justice, my lady. It would be an honor to return your love, but I am promised to another. A king must keep his word.",2
6765,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"I would like to heed your wishes and the wishes of my people, but I took a holy vow.",2
6767,6/3/2012,Season 2,Episode 10,Valar Morghulis,joffrey lannister,male,great_house,lannister,"The gods are good. I am free to heed my heart. Ser Loras, I will gladly wed your sweet sister. You will be my queen and I will love you from this day until my last day.",2
7360,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,Why have we stopped?,2
7362,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,What is she doing? Who gave her permission?,2
7369,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,No.,2
7382,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,"Please, sit. Sit. I do apologize, my lady. Small council meetings. At what point does it become treason to waste the king's time?",2
7383,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,"That's a lovely gown, my lady.",2
7386,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,"Shall I have them bring you a shawl, my lady?",2
7395,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,My mother's always had a penchant for drama. Facts become less and less important to her as she grows older. Our lives were never truly in danger.,2
7398,3/31/2013,Season 3,Episode 1,Valar Dohaeris,joffrey lannister,male,great_house,lannister,"Well, as Ser Loras said, Lady Margaery has done this sort of... charitable work before. I'm sure she knows what she's doing.",2
7528,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Make it tighter here.,2
7530,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,No flowers. I said no flowers. All these are wrong. Bring others.,2
7532,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Bloody flowers. On the king.,2
7535,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Who?,2
7537,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,"She's an ideal match. With the Tyrells beside us, we'll crush the Northerners. Hang their lords, burn their strongholds, sow their fields with salt, and no one will think of rebelling for another century.",2
7539,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,"Yes, she is.",2
7541,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Not to me.,2
7543,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,This is becoming one of the most boring conversations I've ever had.,2
7545,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,She married Renly Baratheon because she was told to. That's what intelligent women do-what they're told.,2
7547,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,I don't need to do anything.,2
7548,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Better. Much better.,2
7771,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Send her in.,2
7773,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,I'm leaving on a hunting trip. I just wanted to make sure you had everything you need before I left.,2
7775,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Good. Good. How are you finding life in the capital? It must be quite a change after Renly's camp.,2
7777,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,And the bedside of a traitor? Is that a place for a lady?,2
7779,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,What was your duty to this traitor as you saw it?,2
7781,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,You failed to do this.,2
7783,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,You think one ought to speak kindly of a traitor merely because he's had a sword put through his heart?,2
7785,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,What makes you say this?,2
7787,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,"No, he was a known degenerate.",2
7789,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Mmm. I've considered making his perversion punishable by death.,2
7792,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Yes. I am.,2
7793,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Do you like it? I just had it made. Probably one of the finest weapons in the Seven Kingdoms.,2
7795,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,It's a new design. Much easier to load. There's no crank. You use this lever to draw the string.,2
7796,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,The bolt goes here.,2
7797,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,And then you just aim and-,2
7799,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,It's not unheard of.,2
7801,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,You no longer belong to him. Do you want to hold it?,2
7804,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Could you do it? Could you kill something?.,2
7806,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",joffrey lannister,male,great_house,lannister,Yes.,2
9339,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,Grandfather.,2
9341,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,Yes. I'd like a report on the meetings of my small council.,2
9343,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,I've been very busy. Many important matters require a king's attention.,2
9345,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,You've been holding the council meetings in the Tower of the Hand instead of the small council chamber.,2
9347,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,May I ask why?,2
9349,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,"So if I wanted to attend a council meeting, I would now have to climb all the stairs in the Tower of the Hand?",2
9351,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,Tell me about the Targaryen girl in the east and her dragons.,2
9353,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,Is it true?,2
9355,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,Don't you think we ought to do something about it?,2
9357,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,And the biggest was the size of a carriage.,2
9359,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,But how do we know these dragons are just curiosities and not the beasts that brought the whole world to heel?,2
9361,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,But I haven't been counseled.,2
9363,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,joffrey lannister,male,great_house,lannister,I should be consulted about such things.,2
9806,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,"Your father's gone. As the father of the realm, it is my duty to give you away to your husband.",2
9844,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,I've got a lifetime for that.,2
9857,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,"Congratulations, my lady.",2
9859,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,"Well, you've done it. You've married a Lannister. Soon you'll have a Lannister baby. It's a dream come true for you, isn't it? What a glorious day.",2
9861,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,I suppose it doesn't really matter which Lannister puts the baby into you. Maybe I'll pay you a visit tonight after my uncle passes out. How'd you like that?,2
9862,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,You wouldn't? That's all right. Ser Meryn and Ser Boros will hold you down.,2
9863,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,Time for the bedding ceremony.,2
9865,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,"Where's your respect for tradition, Uncle? Come, everyone. Pick her up and carry her to her wedding bed. Get rid of her gown. She won't be needing it any longer. Ladies, attend to my uncle. He's not heavy.",2
9866,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,There will be if I command it.,2
9868,5/19/2013,Season 3,Episode 8,Second Sons,joffrey lannister,male,great_house,lannister,What did you say? What did you say?,2
10294,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,"Show him. Come on, show him.",2
10297,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,Robb Stark is dead. And his bitch mother. Write back to Lord Frey. Thank him for his service and command him to send Robb Stark's head. I'm going to serve it to Sansa at my wedding feast.,2
10300,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,"Yes, I did. I'm going to have it served to Sansa at my wedding feast.",2
10302,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,"Everyone is mine to torment. You'd do well to remember that, you little monster.",2
10304,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,I could have your tongue out for saying that.,2
10307,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,I am the king! I will punish you.,2
10309,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,My father won the real war. He killed Prince Rhaegar. He took the crown while you hid under Casterly Rock!,2
10312,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,I'm not tired.,2
10315,6/9/2013,Season 3,Episode 10,Mhysa,joffrey lannister,male,great_house,lannister,I'm not tired!,2
11011,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,"Yes, yes, one guard at the... the thing. Go on.",2
11017,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,By my leave. They know I saved the city. They know I won the war.,2
11019,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,"I broke Stannis on the Blackwater. Pity you weren't there to help, Uncle.",2
11021,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,Busy getting captured.,2
11024,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,Ser Jaime Lannister.,2
11025,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,Someone forgot to write down all your great deeds.,2
11027,4/6/2014,Season 4,Episode 1,Two Swords,joffrey lannister,male,great_house,lannister,Is there? For a 40-year-old knight with one hand? How can you protect me with that?,2
11260,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"A handsome goblet, my lord. Or shall I call you Father?",2
11264,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,A book?,2
11266,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Now that the war is won, we should all find time for wisdom. Thank you, Uncle.",2
11269,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,So they say.,2
11270,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Such a great sword should have a name. What shall I call her?,2
11275,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Widow's Wail. I like that. Every time I use it, it'll be like cutting off Ned Stark's head all over again.",2
11368,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"With this kiss, I pledge my love.",2
11399,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Very good. Very good. Off you go.,2
11401,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Everyone. The queen would like to say a few words.,2
11418,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,You're the one who put a sword through Renly Baratheon.,2
11420,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,A shame. I'd knight the man that put an end to that deviant's life.,2
11422,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Yes, yes.",2
11447,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,A gold dragon to whoever knocks my fool's hat off.,2
11467,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Everyone, silence! Clear the floor. There's been too much amusement here today. A royal wedding is not an amusement. A royal wedding is history. The time has come for all of us to contemplate our history. My lords... my ladies...",2
11468,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"I give you. King Joffrey... Renly, Stannis, Robb Stark, Balon Greyjoy. The War of the Five Kings.",2
11496,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Well fought. Well fought. Here you are. Champion's purse. Though you're not the champion yet, are you? A true champion defeats all the challengers. Surely there are others out there who still dare to challenge my reign. Uncle. How about you? I'm sure they have a spare costume.",2
11499,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,It did not spill.,2
11501,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Well, how does he expect me to toast without wine? Uncle, you can be my cup-bearer seeing as you're too cowardly to fight.",2
11503,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,It's not meant as an honor.,2
11504,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Bring me my goblet.,2
11505,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,What good is an empty cup? Fill it.,2
11506,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Kneel. Kneel before your king.,2
11507,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,Kneel. I said... kneel!,2
11509,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,My queen.,2
11513,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Uncle. Where are you going? You're my cup-bearer, remember?",2
11515,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"No, no, no. No, you're perfect the way you are. Serve me my wine.",2
11516,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Well, hurry up. This pie is dry.",2
11517,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"Mm, good. Needs washing down.",2
11519,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,"No. No, you'll wait here... un...",2
11521,4/13/2014,Season 4,Episode 2,The Lion and the Rose,joffrey lannister,male,great_house,lannister,It's nothing.,2
7448,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,"You can't kill it, you know.",2
7450,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,Because the raven is you.,2
7685,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,I'm unarmed.,2
7687,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,My sister carries the weapons.,2
7691,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,You must be SUMMER.,2
7692,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,"I'm Jojen Reed. This is my sister Meera. We've come a long way to find you, Brandon. And we have much farther to go.",2
7836,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,"You can get inside his head, see through his eyes.",2
7838,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,That's how it begins until you learn to control it. You're a warg.,2
7840,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,A three-eyed raven?,2
7842,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,We saw him together. You haven't forgotten?,2
7844,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,"No, the raven is something different, something deeper. The raven brings the sight.",2
7846,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,Or things that happened long before you were born or things that are happening right now thousands of miles away.,2
7854,4/7/2013,Season 3,Episode 2,"Dark Wings, Dark Words",jojen reed,male,noble,lesser,You didn't dream it. You saw it. So did I.,2
